trial,time,drone_id,depot_id,pkg_id,agent_tw_earliest_time,agent_tw_latest_time,agent_tw_avail,reward,true_return_time,true_delivery_time,approx_travel_time,true_travel_time
1,22,dn13,5,pkg34,29.0,38.0,41,1000.0,32.0,29.0,3,3.0
1,23,dn14,5,pkg35,31.0,36.0,38,1000.0,34.0,31.0,2,3.0
1,24,dn5,2,pkg32,25.0,32.0,36,1000.0,36,30,4,6
1,28,dn8,3,pkg29,20.0,30.0,38,1000.0,62,45,8,17
1,30,dn15,5,pkg39,40.0,47.0,58,1000.0,58,44,11,14
1,32,dn1,1,pkg38,34.0,42.0,45,1000.0,44,38,3,6
1,32,dn6,2,pkg36,34.0,41.0,50,1000.0,54,43,9,11
1,32,dn13,5,pkg40,39.0,49.0,59,1000.0,64,48,10,16
1,34,dn14,5,pkg41,40.0,49.0,54,1000.0,44.0,40.0,5,4.0
1,36,dn2,1,pkg37,34.0,41.0,47,1000.0,68,52,6,16
1,39,dn3,1,pkg42,48.0,58.0,64,1000.0,56.0,48.0,6,8.0
1,40,dn5,2,pkg43,46.0,55.0,61,1000.0,51.0,46.0,6,5.0
1,42,dn4,2,pkg45,49.0,59.0,63,1000.0,70,56,4,14
1,44,dn1,1,pkg44,46.0,54.0,61,1000.0,70,57,7,13
1,44,dn7,3,pkg46,49.0,57.0,66,1000.0,51.0,49.0,9,2.0
1,45,dn12,4,pkg47,54.0,62.0,67,1000.0,85,65,5,20
1,48,dn11,4,pkg48,51.0,56.0,63,1000.0,68,58,7,10
1,50,dn9,3,pkg49,55.0,60.0,71,1000.0,57.0,55.0,11,2.0
1,51,dn5,2,pkg50,57.0,65.0,67,1000.0,83,67,2,16
1,55,dn6,2,pkg51,62.0,72.0,83,1000.0,87,71,11,16
1,59,dn10,4,pkg52,64.0,72.0,79,1000.0,89,74,7,15
1,60,dn3,1,pkg53,70.0,78.0,89,1000.0,71.0,70.0,11,1.0
1,62,dn7,3,pkg54,71.0,80.0,90,1000.0,77.0,71.0,10,6.0
1,63,dn8,3,pkg55,72.0,82.0,89,1000.0,87,75,7,12
1,66,dn13,5,pkg57,71.0,78.0,83,1000.0,74.0,71.0,5,3.0
1,67,dn9,3,pkg58,72.0,78.0,88,1000.0,93,80,10,13
1,68,dn2,1,pkg56,70.0,76.0,81,1000.0,84,76,5,8
1,69,dn11,4,pkg59,76.0,81.0,92,1000.0,85,77,11,8
1,70,dn1,1,pkg60,78.0,86.0,91,1000.0,96,83,5,13
1,73,dn3,1,pkg61,79.0,85.0,86,1000.0,89,81,1,8
1,76,dn4,2,pkg62,82.0,91.0,93,1000.0,94,85,2,9
1,78,dn7,3,pkg63,87.0,95.0,98,1000.0,91.0,87.0,3,4.0
1,83,dn5,2,pkg65,88.0,95.0,101,1000.0,111,97,6,14
1,87,dn6,2,pkg64,87.0,97.0,106,1000.0,145,116,9,29
1,89,dn8,3,pkg66,97.0,102.0,107,1000.0,117,103,5,14
1,91,dn2,1,pkg67,96.0,106.0,109,1000.0,111,101,3,10
1,96,dn7,3,pkg68,106.0,113.0,118,1000.0,111.0,106.0,5,5.0
1,97,dn1,1,pkg69,107.0,114.0,122,1000.0,121,109,8,12
1,99,dn4,2,pkg70,104.0,111.0,116,1000.0,147,123,5,24
2,0,dn1,1,pkg22,5.0,13.0,15,1000.0,10,5,2,5
2,0,dn2,1,pkg4,6.0,13.0,18,1000.0,14,7,5,7
2,0,dn3,1,pkg9,10.0,15.0,19,1000.0,13.0,10.0,4,3.0
2,0,dn4,2,pkg6,5.0,11.0,14,1000.0,16,8,3,8
2,0,dn5,2,pkg16,5.0,10.0,15,1000.0,36,18,5,18
2,0,dn6,2,pkg10,6.0,12.0,18,1000.0,20,10,6,10
2,0,dn7,3,pkg14,6.0,11.0,12,1000.0,10.0,6.0,1,4.0
2,0,dn8,3,pkg2,7.0,13.0,19,1000.0,11.0,7.0,6,4.0
2,0,dn9,3,pkg17,5.0,12.0,20,1000.0,20,10,8,10
2,0,dn10,4,pkg5,6.0,12.0,19,1000.0,52,26,7,26
2,0,dn11,4,pkg12,10.0,15.0,19,1000.0,42,21,4,21
2,0,dn12,4,pkg13,7.0,15.0,25,1000.0,12.0,7.0,10,5.0
2,0,dn13,5,pkg19,6.0,15.0,17,1000.0,9.0,6.0,2,3.0
2,0,dn14,5,pkg3,8.0,15.0,18,1000.0,11.0,8.0,3,3.0
2,0,dn15,5,pkg8,9.0,19.0,26,1000.0,13.0,9.0,7,4.0
2,9,dn13,5,pkg24,9.0,18.0,23,1000.0,23,16,5,7
2,10,dn1,1,pkg26,15.0,22.0,27,1000.0,24,17,5,7
2,10,dn7,3,pkg20,10.0,18.0,20,1000.0,24,17,2,7
2,11,dn8,3,pkg11,9.0,15.0,22,1000.0,33,22,7,11
2,11,dn14,5,pkg27,15.0,20.0,29,1000.0,29,20,9,9
2,12,dn12,4,pkg23,10.0,19.0,21,1000.0,48,30,2,18
2,13,dn3,1,pkg28,18.0,26.0,30,1000.0,37,25,4,12
2,13,dn15,5,pkg29,21.0,30.0,35,1000.0,25.0,21.0,5,4.0
2,16,dn2,1,pkg31,21.0,26.0,33,1000.0,26,21,7,5
2,16,dn4,2,pkg21,10.0,17.0,22,1000.0,32,24,5,8
2,20,dn6,2,pkg25,13.0,22.0,28,1000.0,68,44,6,24
2,22,dn9,3,pkg34,29.0,36.0,47,1000.0,66,44,11,22
2,31,dn1,1,pkg35,40.0,47.0,54,1000.0,46.0,40.0,7,6.0
2,32,dn4,2,pkg33,30.0,38.0,41,1000.0,50,41,3,9
2,33,dn2,1,pkg36,39.0,48.0,58,1000.0,47,40,10,7
2,35,dn7,3,pkg38,43.0,50.0,55,1000.0,49.0,43.0,5,6.0
2,36,dn5,2,pkg37,43.0,48.0,52,1000.0,86,61,4,25
2,37,dn3,1,pkg39,43.0,53.0,57,1000.0,61,49,4,12
2,40,dn8,3,pkg41,50.0,59.0,67,1000.0,57.0,50.0,8,7.0
2,42,dn13,5,pkg42,51.0,57.0,67,1000.0,62,52,10,10
2,44,dn14,5,pkg43,51.0,61.0,64,1000.0,55.0,51.0,3,4.0
2,46,dn15,5,pkg44,54.0,64.0,68,1000.0,56.0,54.0,4,2.0
2,48,dn11,4,pkg45,55.0,60.0,62,1000.0,88,68,2,20
2,50,dn4,2,pkg40,43.0,52.0,62,1000.0,102,76,10,26
2,50,dn7,3,pkg46,59.0,66.0,70,1000.0,66.0,59.0,4,7.0
2,54,dn1,1,pkg47,62.0,68.0,77,1000.0,92,73,9,19
2,56,dn2,1,pkg49,66.0,75.0,79,1000.0,76,66,4,10
2,57,dn8,3,pkg48,61.0,71.0,82,1000.0,99,78,11,21
2,59,dn14,5,pkg51,68.0,77.0,86,1000.0,83,71,9,12
2,62,dn3,1,pkg52,68.0,76.0,83,1000.0,86,74,7,12
2,66,dn7,3,pkg53,75.0,83.0,92,1000.0,82.0,75.0,9,7.0
2,67,dn10,4,pkg54,73.0,82.0,89,1000.0,103,85,7,18
2,68,dn6,2,pkg50,63.0,70.0,78,1000.0,98,83,8,15
2,69,dn12,4,pkg55,79.0,87.0,93,1000.0,103,86,6,17
2,72,dn9,3,pkg56,77.0,83.0,87,1000.0,92,82,4,10
2,76,dn2,1,pkg58,84.0,89.0,91,1000.0,90.0,84.0,2,6.0
2,77,dn13,5,pkg59,82.0,89.0,96,1000.0,93,85,7,8
2,80,dn15,5,pkg61,88.0,98.0,107,1000.0,106,93,9,13
2,82,dn7,3,pkg57,83.0,89.0,100,1000.0,118,100,11,18
2,83,dn14,5,pkg63,87.0,92.0,101,1000.0,97,90,9,7
2,86,dn3,1,pkg62,91.0,99.0,105,1000.0,106,96,6,10
2,86,dn5,2,pkg60,87.0,92.0,99,1000.0,116,101,7,15
2,88,dn11,4,pkg64,92.0,97.0,106,1000.0,102,95,9,7
2,92,dn9,3,pkg65,96.0,102.0,112,1000.0,116,104,10,12
2,94,dn1,1,pkg67,102.0,108.0,117,1000.0,108.0,102.0,9,6.0
2,98,dn6,2,pkg68,106.0,112.0,113,1000.0,130,114,1,16
2,99,dn8,3,pkg69,109.0,117.0,125,1000.0,121,110,8,11
3,0,dn1,1,pkg2,7.0,12.0,16,1000.0,20,10,4,10
3,0,dn2,1,pkg18,6.0,13.0,20,1000.0,18,9,7,9
3,0,dn3,1,pkg5,9.0,16.0,21,1000.0,14.0,9.0,5,5.0
3,0,dn4,2,pkg10,6.0,12.0,17,1000.0,20,10,5,10
3,0,dn5,2,pkg6,6.0,15.0,18,1000.0,32,16,3,16
3,0,dn6,2,pkg4,9.0,17.0,21,1000.0,46,23,4,23
3,0,dn7,3,pkg1,6.0,14.0,19,1000.0,18,9,5,9
3,0,dn8,3,pkg3,7.0,14.0,21,1000.0,18,9,7,9
3,0,dn9,3,pkg13,10.0,15.0,22,1000.0,12.0,10.0,7,2.0
3,0,dn10,4,pkg21,5.0,13.0,15,1000.0,54,27,2,27
3,0,dn11,4,pkg7,6.0,15.0,21,1000.0,28,14,6,14
3,0,dn12,4,pkg8,9.0,17.0,21,1000.0,46,23,4,23
3,0,dn13,5,pkg14,9.0,18.0,23,1000.0,13.0,9.0,5,4.0
3,0,dn14,5,pkg9,6.0,16.0,27,1000.0,14,7,11,7
3,2,dn15,5,pkg24,10.0,19.0,28,1000.0,16.0,10.0,9,6.0
3,12,dn9,3,pkg25,10.0,15.0,22,1000.0,24,18,7,6
3,13,dn13,5,pkg28,17.0,24.0,35,1000.0,31,22,11,9
3,14,dn3,1,pkg23,6.0,16.0,20,1000.0,56,35,4,21
3,14,dn14,5,pkg30,22.0,29.0,37,1000.0,32,23,8,9
3,16,dn15,5,pkg31,24.0,32.0,37,1000.0,28.0,24.0,5,4.0
3,18,dn2,1,pkg16,9.0,19.0,26,1000.0,64,41,7,23
3,18,dn7,3,pkg29,22.0,28.0,34,1000.0,44,31,6,13
3,18,dn8,3,pkg32,25.0,32.0,43,1000.0,29.0,25.0,11,4.0
3,20,dn1,1,pkg34,26.0,34.0,38,1000.0,29.0,26.0,4,3.0
3,20,dn4,2,pkg26,16.0,25.0,28,1000.0,64,42,3,22
3,24,dn9,3,pkg35,30.0,40.0,45,1000.0,48,36,5,12
3,28,dn11,4,pkg33,28.0,36.0,43,1000.0,68,48,7,20
3,29,dn8,3,pkg36,34.0,41.0,52,1000.0,79,54,11,25
3,30,dn1,1,pkg37,36.0,44.0,55,1000.0,62,46,11,16
3,32,dn5,2,pkg38,37.0,46.0,56,1000.0,66,49,10,17
3,39,dn13,5,pkg42,45.0,52.0,61,1000.0,67,53,9,14
3,44,dn7,3,pkg44,52.0,62.0,65,1000.0,70,57,3,13
3,45,dn14,5,pkg45,54.0,62.0,71,1000.0,57.0,54.0,9,3.0
3,46,dn6,2,pkg40,43.0,51.0,61,1000.0,66,56,10,10
3,46,dn12,4,pkg39,39.0,49.0,57,1000.0,86,66,8,20
3,47,dn15,5,pkg46,55.0,61.0,71,1000.0,62.0,55.0,10,7.0
3,48,dn9,3,pkg43,49.0,58.0,69,1000.0,100,74,11,26
3,54,dn10,4,pkg41,46.0,56.0,59,1000.0,100,77,3,23
3,56,dn3,1,pkg48,59.0,66.0,70,1000.0,88,72,4,16
3,57,dn14,5,pkg50,61.0,70.0,80,1000.0,75,66,10,9
3,62,dn1,1,pkg47,58.0,68.0,71,1000.0,90,76,3,14
3,62,dn15,5,pkg55,65.0,72.0,80,1000.0,76,69,8,7
3,64,dn2,1,pkg52,66.0,75.0,82,1000.0,86,75,7,11
3,64,dn4,2,pkg49,58.0,68.0,72,1000.0,118,91,4,27
3,66,dn5,2,pkg51,60.0,69.0,72,1000.0,102,84,3,18
3,66,dn6,2,pkg53,62.0,72.0,75,1000.0,122,94,3,28
3,67,dn13,5,pkg58,74.0,82.0,91,1000.0,83,75,9,8
3,68,dn11,4,pkg57,72.0,81.0,86,1000.0,102,85,5,17
3,70,dn7,3,pkg60,77.0,85.0,88,1000.0,80.0,77.0,3,3.0
3,75,dn14,5,pkg62,83.0,92.0,101,1000.0,90.0,83.0,9,7.0
3,76,dn15,5,pkg64,86.0,94.0,102,1000.0,98,87,8,11
3,79,dn8,3,pkg59,79.0,84.0,93,1000.0,95,87,9,8
3,80,dn7,3,pkg66,89.0,94.0,100,1000.0,114,97,6,17
3,86,dn12,4,pkg63,80.0,89.0,97,1000.0,124,105,9,19
3,89,dn2,1,pkg69,97.0,106.0,114,1000.0,121,105,8,16
3,90,dn13,5,pkg70,96.0,106.0,115,1000.0,110,100,9,10
3,93,dn14,5,pkg71,101.0,109.0,111,1000.0,103.0,101.0,2,2.0
3,94,dn1,1,pkg72,104.0,110.0,120,1000.0,114,104,10,10
3,95,dn8,3,pkg67,91.0,96.0,100,1000.0,127,111,4,16
4,0,dn1,1,pkg13,5.0,12.0,17,1000.0,36,18,5,18
4,0,dn2,1,pkg17,7.0,14.0,18,1000.0,20,10,4,10
4,0,dn3,1,pkg11,5.0,13.0,23,1000.0,34,17,10,17
4,0,dn4,2,pkg7,5.0,12.0,19,1000.0,40,20,7,20
4,0,dn5,2,pkg15,9.0,14.0,19,1000.0,42,21,5,21
4,0,dn6,2,pkg16,9.0,14.0,19,1000.0,24,12,5,12
4,0,dn7,3,pkg14,7.0,12.0,14,1000.0,11.0,7.0,2,4.0
4,0,dn8,3,pkg8,8.0,14.0,17,1000.0,22,11,3,11
4,0,dn9,3,pkg9,10.0,15.0,17,1000.0,16.0,10.0,2,6.0
4,0,dn10,4,pkg3,9.0,15.0,16,1000.0,48,24,1,24
4,0,dn11,4,pkg22,8.0,16.0,17,1000.0,32,16,1,16
4,0,dn12,4,pkg2,10.0,16.0,18,1000.0,26,13,2,13
4,0,dn13,5,pkg4,7.0,16.0,18,1000.0,9.0,7.0,2,2.0
4,0,dn14,5,pkg21,6.0,14.0,20,1000.0,10.0,6.0,6,4.0
4,0,dn15,5,pkg1,9.0,18.0,23,1000.0,16.0,9.0,5,7.0
4,9,dn13,5,pkg27,12.0,17.0,21,1000.0,15,12,4,3
4,10,dn14,5,pkg24,11.0,16.0,22,1000.0,24,17,6,7
4,11,dn7,3,pkg25,9.0,17.0,21,1000.0,27,19,4,8
4,15,dn13,5,pkg10,10.0,20.0,26,1000.0,25,20,6,5
4,16,dn9,3,pkg26,11.0,17.0,27,1000.0,34,25,10,9
4,16,dn15,5,pkg30,20.0,26.0,33,1000.0,24,20,7,4
4,20,dn2,1,pkg28,16.0,25.0,33,1000.0,38,29,8,9
4,22,dn8,3,pkg31,21.0,26.0,36,1000.0,50,36,10,14
4,24,dn14,5,pkg33,25.0,34.0,35,1000.0,26,25,1,1
4,24,dn15,5,pkg32,26.0,32.0,36,1000.0,27.0,26.0,4,1.0
4,26,dn12,4,pkg36,33.0,40.0,42,1000.0,62,44,2,18
4,27,dn7,3,pkg37,34.0,43.0,50,1000.0,37.0,34.0,7,3.0
4,30,dn6,2,pkg38,39.0,45.0,47,1000.0,70,50,2,20
4,31,dn13,5,pkg39,39.0,48.0,51,1000.0,42.0,39.0,3,3.0
4,32,dn11,4,pkg35,32.0,42.0,48,1000.0,50,41,6,9
4,40,dn1,1,pkg42,49.0,58.0,60,1000.0,60,50,2,10
4,40,dn4,2,pkg40,43.0,53.0,59,1000.0,56,48,6,8
4,41,dn2,1,pkg43,51.0,57.0,66,1000.0,53.0,51.0,9,2.0
4,42,dn5,2,pkg41,44.0,54.0,63,1000.0,78,60,9,18
4,42,dn7,3,pkg44,50.0,57.0,61,1000.0,56.0,50.0,4,6.0
4,44,dn9,3,pkg45,52.0,60.0,69,1000.0,68,56,9,12
4,45,dn3,1,pkg46,54.0,59.0,68,1000.0,73,59,9,14
4,48,dn10,4,pkg47,57.0,63.0,70,1000.0,112,80,7,32
4,48,dn13,5,pkg48,56.0,65.0,76,1000.0,66,57,11,9
4,51,dn8,3,pkg49,56.0,66.0,75,1000.0,59.0,56.0,9,3.0
4,53,dn11,4,pkg51,60.0,66.0,77,1000.0,99,76,11,23
4,56,dn4,2,pkg50,62.0,69.0,77,1000.0,86,71,8,15
4,57,dn7,3,pkg53,66.0,74.0,75,1000.0,81,69,1,12
4,62,dn12,4,pkg52,66.0,74.0,82,1000.0,102,82,8,20
4,63,dn1,1,pkg55,71.0,81.0,82,1000.0,78.0,71.0,1,7.0
4,64,dn2,1,pkg56,73.0,82.0,87,1000.0,92,78,5,14
4,69,dn13,5,pkg57,79.0,87.0,96,1000.0,88.0,79.0,9,9.0
4,70,dn6,2,pkg54,65.0,72.0,75,1000.0,98,84,3,14
4,72,dn8,3,pkg58,82.0,89.0,91,1000.0,87.0,82.0,2,5.0
4,75,dn3,1,pkg59,85.0,94.0,105,1000.0,94.0,85.0,11,9.0
4,77,dn9,3,pkg60,85.0,93.0,104,1000.0,91.0,85.0,11,6.0
4,78,dn1,1,pkg61,86.0,96.0,104,1000.0,87.0,86.0,8,1.0
4,80,dn14,5,pkg62,89.0,95.0,102,1000.0,92.0,89.0,7,3.0
4,83,dn7,3,pkg64,88.0,96.0,107,1000.0,101,92,11,9
4,85,dn5,2,pkg65,95.0,105.0,113,1000.0,133,109,8,24
4,87,dn1,1,pkg63,90.0,95.0,98,1000.0,101,94,3,7
4,88,dn4,2,pkg66,96.0,101.0,110,1000.0,106,97,9,9
4,89,dn8,3,pkg67,95.0,100.0,109,1000.0,101,95,9,6
4,95,dn9,3,pkg69,101.0,111.0,120,1000.0,121,108,9,13
4,96,dn2,1,pkg70,101.0,109.0,116,1000.0,104.0,101.0,7,3.0
4,98,dn3,1,pkg71,106.0,111.0,114,1000.0,110.0,106.0,3,4.0
4,98,dn6,2,pkg68,103.0,110.0,117,1000.0,136,117,7,19
5,0,dn1,1,pkg7,5.0,10.0,15,1000.0,8.0,5.0,5,3.0
5,0,dn2,1,pkg18,6.0,14.0,17,1000.0,10.0,6.0,3,4.0
5,0,dn3,1,pkg5,6.0,16.0,19,1000.0,14,7,3,7
5,0,dn4,2,pkg6,8.0,16.0,19,1000.0,34,17,3,17
5,0,dn5,2,pkg9,8.0,16.0,19,1000.0,42,21,3,21
5,0,dn6,2,pkg11,5.0,12.0,19,1000.0,22,11,7,11
5,0,dn7,3,pkg13,5.0,13.0,14,1000.0,24,12,1,12
5,0,dn8,3,pkg4,9.0,14.0,16,1000.0,13.0,9.0,2,4.0
5,0,dn9,3,pkg10,10.0,15.0,17,1000.0,26,13,2,13
5,0,dn10,4,pkg14,8.0,16.0,20,1000.0,46,23,4,23
5,0,dn11,4,pkg21,9.0,16.0,21,1000.0,22,11,5,11
5,0,dn12,4,pkg20,9.0,16.0,26,1000.0,15.0,9.0,10,6.0
5,0,dn13,5,pkg17,6.0,11.0,13,1000.0,9.0,6.0,2,3.0
5,0,dn14,5,pkg15,5.0,12.0,15,1000.0,9.0,5.0,3,4.0
5,0,dn15,5,pkg19,8.0,15.0,19,1000.0,12.0,8.0,4,4.0
5,8,dn1,1,pkg23,10.0,16.0,22,1000.0,18,13,6,5
5,9,dn13,5,pkg12,10.0,15.0,20,1000.0,15,12,5,3
5,9,dn14,5,pkg24,10.0,17.0,23,1000.0,21,15,6,6
5,10,dn2,1,pkg16,7.0,17.0,23,1000.0,34,22,6,12
5,12,dn15,5,pkg3,6.0,15.0,24,1000.0,38,25,9,13
5,13,dn8,3,pkg2,9.0,17.0,28,1000.0,59,36,11,23
5,14,dn3,1,pkg1,6.0,16.0,24,1000.0,48,31,8,17
5,15,dn12,4,pkg26,13.0,19.0,25,1000.0,77,46,6,31
5,15,dn13,5,pkg25,13.0,22.0,24,1000.0,21,18,2,3
5,18,dn1,1,pkg28,15.0,25.0,29,1000.0,30,24,4,6
5,21,dn13,5,pkg29,18.0,27.0,30,1000.0,25,23,3,2
5,21,dn14,5,pkg32,25.0,30.0,37,1000.0,33,27,7,6
5,22,dn6,2,pkg30,22.0,28.0,30,1000.0,46,34,2,12
5,22,dn11,4,pkg27,16.0,26.0,32,1000.0,34,28,6,6
5,24,dn7,3,pkg35,32.0,41.0,45,1000.0,60,42,4,18
5,26,dn9,3,pkg36,34.0,39.0,50,1000.0,58,42,11,16
5,28,dn13,5,pkg37,35.0,44.0,47,1000.0,40.0,35.0,3,5.0
5,33,dn1,1,pkg38,40.0,49.0,60,1000.0,44.0,40.0,11,4.0
5,34,dn2,1,pkg39,44.0,49.0,59,1000.0,60,47,10,13
5,35,dn4,2,pkg40,44.0,53.0,61,1000.0,65,50,8,15
5,36,dn11,4,pkg41,41.0,46.0,47,1000.0,58,47,1,11
5,38,dn14,5,pkg42,43.0,52.0,59,1000.0,56,47,7,9
5,42,dn5,2,pkg43,47.0,55.0,64,1000.0,66,54,9,12
5,46,dn6,2,pkg44,52.0,61.0,70,1000.0,98,72,9,26
5,48,dn1,1,pkg47,55.0,65.0,73,1000.0,59.0,55.0,8,4.0
5,50,dn3,1,pkg48,59.0,67.0,76,1000.0,72,61,9,11
5,52,dn13,5,pkg49,59.0,65.0,73,1000.0,70,61,8,9
5,54,dn15,5,pkg50,59.0,68.0,73,1000.0,64,59,5,5
5,56,dn14,5,pkg51,64.0,70.0,77,1000.0,74,65,7,9
